title,type,release_year,runtime,seasons,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,lead_prod_country,prod_countries_cnt,main_genre,dbscan_clusters
The Law Rides Again,MOVIE,1943,58,0.0,6.0,112.0,0.948,6.3,US,1,western,4
The Shadow Returns,MOVIE,1946,61,0.0,5.4,243.0,1.018,5.8,US,1,thriller,1
Million Dollar Kid,MOVIE,1944,65,0.0,5.9,563.0,2.035,6.4,US,1,comedy,5
Held For Ransom,MOVIE,1938,59,0.0,5.2,140.0,1.4,5.0,US,1,crime,2
They Raid by Night,MOVIE,1942,73,0.0,4.4,260.0,1.577,5.0,US,1,drama,0
By Appointment Only,MOVIE,1933,67,0.0,5.7,91.0,1.031,5.8,US,1,drama,0
Double Cross,MOVIE,1941,61,0.0,5.1,180.0,1.217,5.0,US,1,drama,0
The Thundering Herd,MOVIE,1933,56,0.0,5.9,32.0,2.227,2.0,US,1,western,4
The Big Chance,MOVIE,1933,62,0.0,4.8,173.0,0.6,4.5,US,1,crime,2
The Dawn Express,MOVIE,1942,62,0.0,4.4,211.0,1.249,3.5,US,1,action,22
Streamline Express,MOVIE,1935,71,0.0,5.4,176.0,0.88,5.0,US,1,romance,3
"Come on, Cowboys",MOVIE,1937,58,0.0,6.1,79.0,0.708,6.0,US,1,western,4
Yodelin' Kid from Pine Ridge,MOVIE,1937,60,0.0,5.6,132.0,1.255,5.0,US,1,western,4
For You I Die,MOVIE,1947,76,0.0,6.1,243.0,1.73,5.8,US,1,crime,2
Palooka,MOVIE,1934,86,0.0,6.0,370.0,2.558,1.8,US,1,comedy,5
Cobra,MOVIE,1925,76,0.0,6.4,747.0,0.954,6.4,US,1,drama,0
Bill Cracks Down,MOVIE,1937,61,0.0,5.6,90.0,0.6,6.0,US,1,romance,3
The Duke Is Tops,MOVIE,1938,63,0.0,5.4,369.0,0.81,6.6,US,1,music,-1
Back Door to Heaven,MOVIE,1939,85,0.0,6.0,157.0,1.779,6.0,US,1,crime,2
